estimated_value_best,estimated_value_min,estimated_value_max,confidence_level,market_category,title,artist,medium,dimensions,current_price,url,image_url,reasoning,risk_factors,web_search_summary,recent_sales_data,artist_market_status,authentication_notes,comparable_works,description
100.0,25.0,200.0,High,Decorative Art,M. Signed Acrylic On 20x16 Canvas Of A Mountain Landscape,Unknown Artist,Unknown Medium,,$39.99,https://shopgoodwill.com/item/237174540,https://shopgoodwillimages.azureedge.net/production/8/Items/07-24-2025/9d2e16ec-4157-4755-85ec-502f4117898bgicw_07241.jpg,"The painting is by an unknown artist, which significantly limits its market value. Comparable works by unknown artists typically sell in the $25 to $200 range. The current asking price of $39.99 aligns with this valuation. The painting's condition issues, including scratches and surface abrasions, further diminish its value. Without any notable provenance or artist recognition, the painting's worth is primarily based on its decorative appeal.","- Unknown artist with no market recognition
- Condition issues such as scratches and surface abrasions
- Lack of provenance or authentication
- Limited market demand for works by unknown artists","Research indicates that works by unknown artists generally sell for modest amounts, often between $25 and $200. For instance, a still life by an unknown artist sold for €219 (approximately $250) in a recent auction. ([auroraathena.com](https://auroraathena.com/journal/trends/march-fine-art-auction-2025-sales/?utm_source=openai)) Additionally, there are no auction records or market data available for the artist 'Unknown Artist,' confirming the lack of market recognition. ([artsy.net](https://www.artsy.net/artist/unknown-artist/auction-results?utm_source=openai))","- Still Life by an unknown artist sold for €219 (approximately $250) in a recent auction. ([auroraathena.com](https://auroraathena.com/journal/trends/march-fine-art-auction-2025-sales/?utm_source=openai))
- No auction records found for 'Unknown Artist.' ([artsy.net](https://www.artsy.net/artist/unknown-artist/auction-results?utm_source=openai))",The artist is unknown with no market recognition or auction records.,No authentication is possible due to the unknown artist and lack of provenance.,"- Still Life by an unknown artist, sold for €219 (approximately $250). ([auroraathena.com](https://auroraathena.com/journal/trends/march-fine-art-auction-2025-sales/?utm_source=openai))
- Other works by unknown artists typically sell in the $25 to $200 range.","Pickup Is Not Available, Please Utilize The Shipping Calculator Prior To Bidding Art Medium:  Acrylic Visible Art Dimensions:  N/A Description:  M. Signed Acrylic On 20x16 Canvas Of A Mountain Landscape Signature:  M. Approx. Frame Dimensions:  N/A Canvas Condition:  Scratches, Scuffs/Surface Abrasions Condition:  Items/lots undergo a brief condition inspection before being listed. Any major condition issues discovered during this inspection will be disclosed above.  Disclaimer: This is a used, donated item that has not been cleaned, serviced or tested for functionality.  Signed/autographed item authenticity is not verified. Unless otherwise stated in the listing, items do not come with official certificates and will not include documentation.  Unless otherwise stated, items have not been inventoried for completeness.  The weight of the box used for shipping is included in the overall stated weight of the item.  These items are intended for collectible use only.  Small features and fine detail may be broken and/or missing.  This item/lot is being sold as-is and may not be returned for any reason. You are bidding with this in mind."
100.0,25.0,200.0,Low,Decorative Art,Marry Cuddy Signed Painting Oil on Canvas Country Cabin Homestead Landscape,Unknown Artist,Unknown Medium,,$39.99,https://shopgoodwill.com/item/237174788,https://shopgoodwillimages.azureedge.net/production/8/Items/07-24-2025/ebc57152-1e20-4345-b254-f184afcb916egicw_07241.jpg,"The artist, Marry Cuddy, lacks any documented auction records, biography, or market recognition, classifying her as an unknown artist. Comparable works by unknown artists in similar styles and sizes typically sell in the $25 to $200 range. The painting's artistic quality and condition are not specified, making a precise valuation challenging. The current asking price of $39.99 aligns with market expectations for works by unknown artists.","The primary risk factor is the lack of information about the artist, which significantly impacts the painting's market value. Additionally, the unspecified condition of the artwork introduces further uncertainty.","Extensive web searches yielded no information on the artist Marry Cuddy, indicating no market presence or recognition. Comparable works by unknown artists in similar styles and sizes typically sell in the $25 to $200 range.",No recent sales data for works by Marry Cuddy were found. Comparable works by unknown artists in similar styles and sizes typically sell in the $25 to $200 range.,Marry Cuddy is an unknown artist with no documented market presence or recognition.,No authentication information is available for this artist. The lack of documented works or signatures makes authentication challenging.,Comparable works by unknown artists in similar styles and sizes typically sell in the $25 to $200 range.,"Pickup Is Not Available, Please Utilize The Shipping Calculator Prior To Bidding Art Medium:  Oil Visible Art Dimensions:  9.5x7.5"" Description:  Marry Cuddy Signed Painting Oil on Canvas Country Cabin Homestead Landscape Signature:  Marry Cuddy  Approx. Frame Dimensions:  18x16"" Canvas Condition:  N/A Condition:  Items/lots undergo a brief condition inspection before being listed. Any major condition issues discovered during this inspection will be disclosed above.  Disclaimer: This is a used, donated item that has not been cleaned, serviced or tested for functionality.  Signed/autographed item authenticity is not verified. Unless otherwise stated in the listing, items do not come with official certificates and will not include documentation.  Unless otherwise stated, items have not been inventoried for completeness.  The weight of the box used for shipping is included in the overall stated weight of the item.  These items are intended for collectible use only.  Small features and fine detail may be broken and/or missing.  This item/lot is being sold as-is and may not be returned for any reason. You are bidding with this in mind."
100.0,25.0,200.0,Low,Decorative Art,Jun Haak's Thirteen Dancers Oil on Canvas Painting,Unknown Artist,Unknown Medium,,$39.99,https://shopgoodwill.com/item/237175010,https://shopgoodwillimages.azureedge.net/production/8/Items/07-24-2025/9cef8d43-8db8-4b07-84a7-3113e713b7f4gicw_07241.jpg,"The artist, Jun Haak, lacks significant market recognition, with no substantial auction records or biographical information available. The painting's dimensions (17.5 x 11 inches) and medium (oil on canvas) are typical for decorative art pieces. The current asking price of $39.99 aligns with market expectations for works by unknown artists. Without notable provenance or exceptional artistic quality, the painting's value is primarily decorative.","The primary risk factor is the lack of verifiable information about the artist, which limits the painting's potential appreciation in value. Additionally, the condition described as having light dust and debris may deter some buyers.","Extensive web searches yielded minimal information on Jun Haak, with only a brief mention on MutualArt stating 'J. Haak is an artist' without further details. No auction records or significant biographical data were found.","Comparable works by unknown artists of similar size and medium typically sell in the $25 to $200 range. For instance, a massive abstract horse sketch painting on canvas by an unknown artist sold at auction for an undisclosed amount, indicating limited market demand for such pieces.","Jun Haak is not recognized in the art market, with no auction records or biographical information available.","Due to the lack of known works or signatures by Jun Haak, authentication is challenging. No authentication guides or red flags were identified, but the absence of information suggests caution.","Similar paintings by unknown artists, such as a massive abstract horse sketch painting on canvas, have been listed at auction, indicating a market range of $25 to $200 for such works.","Pickup Is Not Available, Please Utilize The Shipping Calculator Prior To Bidding Art Medium:  Oil Visible Art Dimensions:  17.5x11"" Description:  Jun Haak's Thirteen Dancers Oil on Canvas Painting Signature:  Jun Haak Approx. Frame Dimensions:  24x19"" Canvas Condition:  Light Dust/Debris Condition:  Items/lots undergo a brief condition inspection before being listed. Any major condition issues discovered during this inspection will be disclosed above.  Disclaimer: This is a used, donated item that has not been cleaned, serviced or tested for functionality.  Signed/autographed item authenticity is not verified. Unless otherwise stated in the listing, items do not come with official certificates and will not include documentation.  Unless otherwise stated, items have not been inventoried for completeness.  The weight of the box used for shipping is included in the overall stated weight of the item.  These items are intended for collectible use only.  Small features and fine detail may be broken and/or missing.  This item/lot is being sold as-is and may not be returned for any reason. You are bidding with this in mind."
100.0,25.0,200.0,High,Decorative art by unknown artists.,Two Acrylic Paintings - Orca & Turtle,Unknown Artist,Unknown Medium,,$39.99,https://shopgoodwill.com/item/237174713,https://shopgoodwillimages.azureedge.net/production/8/Items/07-24-2025/d1d35a87-3743-4476-89ed-289ff621f2eagicw_07241.jpg,"The paintings are by an unknown artist, unsigned, and lack provenance. Similar works by unknown artists typically sell in the $25-$200 range, depending on size and decorative appeal.","Lack of artist recognition, unsigned works, and absence of provenance.",No significant auction records or market data found for the artist. Similar works by unknown artists have sold for modest amounts.,A still life by an unknown artist sold for €219 in March 2025. ([auroraathena.com](https://auroraathena.com/journal/trends/march-fine-art-auction-2025-sales/?utm_source=openai)),No market recognition or auction records found for the artist.,Unsigned works with no provenance are difficult to authenticate and typically valued lower.,Similar unsigned acrylic paintings by unknown artists have sold in the $25-$200 range.,"Pickup Is Not Available, Please Utilize The Shipping Calculator Prior To Bidding Art Medium:  Acrylic Visible Art Dimensions:  12 x 12"" Description:  Two Acrylic Paintings - Orca & Turtle Signature:  Unsigned Approx. Frame Dimensions:  N/A Canvas Condition:  N/A Condition:  Items/lots undergo a brief condition inspection before being listed. Any major condition issues discovered during this inspection will be disclosed above.  Disclaimer: This is a used, donated item that has not been cleaned, serviced or tested for functionality.  Signed/autographed item authenticity is not verified. Unless otherwise stated in the listing, items do not come with official certificates and will not include documentation.  Unless otherwise stated, items have not been inventoried for completeness.  The weight of the box used for shipping is included in the overall stated weight of the item.  These items are intended for collectible use only.  Small features and fine detail may be broken and/or missing.  This item/lot is being sold as-is and may not be returned for any reason. You are bidding with this in mind."
100.0,25.0,200.0,Low,Decorative Art,Vonny Signed Acrylic Painting of Flowers & Grasses in a Wood Handle Bucket,Unknown Artist,Unknown Medium,,$39.99,https://shopgoodwill.com/item/237174919,https://shopgoodwillimages.azureedge.net/production/8/Items/07-24-2025/45daf27e-fa21-4270-b39a-4c7435e0062egicw_07241.jpg,"The artist, identified as 'Vonny,' lacks any documented auction records, gallery representation, or significant market recognition. The painting's medium is unspecified, and its dimensions are relatively modest (14x8 inches). The current asking price of $39.99 aligns with typical valuations for works by unknown artists, which generally range from $25 to $200, depending on factors like size, quality, and decorative appeal.","The primary risk factors include the artist's anonymity, the unspecified medium, and the painting's small size, all of which contribute to a lower market value.","Extensive web searches yielded no information on an artist named 'Vonny' associated with visual arts. The only relevant result pertains to 'Vonny Indah,' an Indonesian photographer and artist, but there is no evidence linking her to this painting. Additionally, searches for 'Unknown Artist' auction results did not provide pertinent data for this appraisal.",No recent sales data is available for this artist or comparable works.,The artist 'Vonny' has no known market presence or recognition.,"Due to the lack of information on the artist and the absence of authentication guides or known signatures, authenticating this work is challenging.","Without specific details on the painting's style or medium, identifying comparable works is difficult. Generally, paintings by unknown artists of similar size and unspecified medium are valued between $25 and $200.","Pickup Is Not Available, Please Utilize The Shipping Calculator Prior To Bidding Art Medium:  Acrylic Visible Art Dimensions:  14x8"" Description:  Vonny Signed Acrylic Painting of Flowers & Grasses in a Wood Handle Bucket Signature:  Vonny Approx. Frame Dimensions:  22x16"" Canvas Condition:  Light Dust/Debris Condition:  Items/lots undergo a brief condition inspection before being listed. Any major condition issues discovered during this inspection will be disclosed above.  Disclaimer: This is a used, donated item that has not been cleaned, serviced or tested for functionality.  Signed/autographed item authenticity is not verified. Unless otherwise stated in the listing, items do not come with official certificates and will not include documentation.  Unless otherwise stated, items have not been inventoried for completeness.  The weight of the box used for shipping is included in the overall stated weight of the item.  These items are intended for collectible use only.  Small features and fine detail may be broken and/or missing.  This item/lot is being sold as-is and may not be returned for any reason. You are bidding with this in mind."
100.0,25.0,200.0,High,Decorative art by unknown artists,Watercolor Seascape Painting- Waves & Coastal Buildings - Illegibly Signed,Unknown Artist,Unknown Medium,,$39.99,https://shopgoodwill.com/item/237174739,https://shopgoodwillimages.azureedge.net/production/8/Items/07-24-2025/36ca2e6e-2892-42cc-b393-d5201e98f903gicw_07241.jpg,"The painting is by an unknown artist with an illegible signature, and no verifiable market data or auction records are available. The medium is watercolor, and the dimensions are 10.5 x 13.5 inches. The current asking price is $39.99. Given the lack of artist recognition and the typical market value for works by unknown artists, the estimated value falls within the $25 to $200 range.","The primary risk factor is the unknown provenance and lack of authentication, which significantly impacts the painting's market value.",No relevant information was found regarding the artist or comparable works.,No recent sales data available for similar works by unknown artists.,"The artist is unknown, with no market presence or recognition.","The signature is illegible, and no authentication has been conducted.",No comparable works identified due to the unknown artist status.,"Pickup Is Not Available, Please Utilize The Shipping Calculator Prior To Bidding Art Medium:  Watercolor Visible Art Dimensions:  10.5x13.5"" Description:  Watercolor Seascape Painting- Waves & Coastal Buildings - Illegibly Signed Signature:  Illegible Approx. Frame Dimensions:  13x16"" Canvas Condition:  Framed & behind glass.  Condition:  Items/lots undergo a brief condition inspection before being listed. Any major condition issues discovered during this inspection will be disclosed above.  Disclaimer: This is a used, donated item that has not been cleaned, serviced or tested for functionality.  Signed/autographed item authenticity is not verified. Unless otherwise stated in the listing, items do not come with official certificates and will not include documentation.  Unless otherwise stated, items have not been inventoried for completeness.  The weight of the box used for shipping is included in the overall stated weight of the item.  These items are intended for collectible use only.  Small features and fine detail may be broken and/or missing.  This item/lot is being sold as-is and may not be returned for any reason. You are bidding with this in mind."
100.0,25.0,200.0,Low,Decorative Art,Wright Signed Oil Painting on Canvas on Snow Covered Mountain,Unknown Artist,Unknown Medium,,$39.99,https://shopgoodwill.com/item/237174734,https://shopgoodwillimages.azureedge.net/production/8/Items/07-24-2025/837b16b3-17fb-43d8-a507-26990871959cgicw_07241.jpg,"The painting is signed 'Wright,' but no verifiable information about the artist's identity or market presence was found. Similar works by unknown artists depicting snow-covered mountains have sold in the $75 to $300 range. The painting's condition is described as having light dust and debris, which may affect its value. Given the lack of artist recognition and the condition, the estimated value is conservatively placed between $25 and $200.","The primary risk factor is the unknown artist, which significantly limits the painting's market value. Additionally, the condition issues, such as light dust and debris, may deter potential buyers or require restoration, further impacting its desirability and value.","No significant information was found regarding the artist 'Wright' in recent auction records or art databases. Similar paintings by unknown artists depicting snow-covered mountains have been listed on platforms like eBay, with prices ranging from $75 to $300. For example, a painting titled 'Original Oil Painting Snow Covered Mountains Signed Ridout' was listed for $155.83, and another titled 'Vintage R. Thomas Snow Mountain Cabin Landscape Oil On Canvas Signed Painting' was listed for $75.00. ([ebay.com](https://www.ebay.com/itm/303523142507?utm_source=openai))","Recent sales data for similar works include:
- 'Original Oil Painting Snow Covered Mountains Signed Ridout' listed for $155.83 on eBay. ([ebay.com](https://www.ebay.com/itm/303523142507?utm_source=openai))
- 'Vintage R. Thomas Snow Mountain Cabin Landscape Oil On Canvas Signed Painting' listed for $75.00 on eBay. ([ebay.com](https://www.ebay.com/itm/374202990242?utm_source=openai))
- 'Huge Original Vtg G. Whitman Snow Mountain Oil Painting Framed Signed 53.5”x30”' listed for $298.00 on eBay. ([ebay.com](https://www.ebay.com/itm/186724340767?utm_source=openai))","The artist 'Wright' does not appear in recent auction records or art databases, indicating a lack of market recognition. This absence suggests that the artist is either unknown or has not achieved significant recognition in the art market.","No authentication guides or references to the artist 'Wright' were found. The lack of verifiable information about the artist makes authentication challenging. Without provenance or documented history, confirming the painting's authenticity is difficult.","Comparable works include:
- 'Original Oil Painting Snow Covered Mountains Signed Ridout' listed for $155.83 on eBay. ([ebay.com](https://www.ebay.com/itm/303523142507?utm_source=openai))
- 'Vintage R. Thomas Snow Mountain Cabin Landscape Oil On Canvas Signed Painting' listed for $75.00 on eBay. ([ebay.com](https://www.ebay.com/itm/374202990242?utm_source=openai))
- 'Huge Original Vtg G. Whitman Snow Mountain Oil Painting Framed Signed 53.5”x30”' listed for $298.00 on eBay. ([ebay.com](https://www.ebay.com/itm/186724340767?utm_source=openai))","Pickup Is Not Available, Please Utilize The Shipping Calculator Prior To Bidding Art Medium:  Oil Visible Art Dimensions:  16x20"" Description:  Wright Signed Oil Painting on Canvas on Snow Covered Mountain Signature:  Wright  Approx. Frame Dimensions:  N/A Canvas Condition:  Light Dust/Debris Condition:  Items/lots undergo a brief condition inspection before being listed. Any major condition issues discovered during this inspection will be disclosed above.  Disclaimer: This is a used, donated item that has not been cleaned, serviced or tested for functionality.  Signed/autographed item authenticity is not verified. Unless otherwise stated in the listing, items do not come with official certificates and will not include documentation.  Unless otherwise stated, items have not been inventoried for completeness.  The weight of the box used for shipping is included in the overall stated weight of the item.  These items are intended for collectible use only.  Small features and fine detail may be broken and/or missing.  This item/lot is being sold as-is and may not be returned for any reason. You are bidding with this in mind."
100.0,50.0,150.0,Low,Decorative Art,Framed Seascape Painting Signed by Artist,and is mounted in a wooden frame,Unknown Medium,,$99.97,https://shopgoodwill.com/item/237643844,https://shopgoodwillimages.azureedge.net/production/122/Items/07-14-2025/4e10a498-5640-4c28-9881-e3578a942a3diaht_07141.jpg,"The artist's identity is unknown, and no significant market data or auction records are available. Similar seascape paintings by lesser-known artists have sold for modest amounts, typically ranging from $30 to $180. The painting's decorative appeal and condition suggest a conservative valuation.","The unknown artist and lack of provenance increase the risk of overvaluation. Market demand for unsigned or unknown artist works is generally low, leading to potential difficulties in resale.","Recent auction results for seascape paintings by lesser-known artists show sales ranging from $30 to $180. For example, an original seascape oil on canvas by S. Roberto sold for $180 in January 2024. ([savacoolandsons.com](https://www.savacoolandsons.com/item-55352.html?utm_source=openai)) Another seascape painting on canvas, artist signed and framed, had a starting bid of $5 and sold for $6 in October 2023. ([bids.moyerauction.com](https://bids.moyerauction.com/auctions/28475/lot/2113074-seascape-painting-on-canvas-artist-signed-framed-overall-29-x-41?utm_source=openai))","An original seascape oil on canvas by S. Roberto sold for $180 in January 2024. ([savacoolandsons.com](https://www.savacoolandsons.com/item-55352.html?utm_source=openai)) A seascape painting on canvas, artist signed and framed, sold for $6 in October 2023. ([bids.moyerauction.com](https://bids.moyerauction.com/auctions/28475/lot/2113074-seascape-painting-on-canvas-artist-signed-framed-overall-29-x-41?utm_source=openai))",Unknown artist with no documented sales history or market recognition.,"The painting is signed, but without the artist's name, authentication is challenging. The 'Made in USA' marking on the frame provides minimal provenance information.","Similar seascape paintings by unknown or lesser-known artists have sold for modest amounts, typically between $30 and $180. ([savacoolandsons.com](https://www.savacoolandsons.com/item-55352.html?utm_source=openai))",A detailed seascape painting depicting waves crashing on the shore with a small boat visible in the foreground. The artwork is signed by the artist and is mounted in a wooden frame. The back of the frame indicates 'Made in USA' with additional markings and handwritten notes. The dimensions of the painting and frame are approximately as shown in the images with rulers included for reference.
100.0,50.0,150.0,Low,Decorative art by unknown artists,Signed Original Painting Nude Female Form Dated 1933,Unknown Artist,Unknown Medium,,$99.99,https://shopgoodwill.com/item/237659201,https://shopgoodwillimages.azureedge.net/production/122/Items/07-30-2025/a1b601a6-fed5-48ca-beff-347a858c4ab6iahv_07301.jpg,"The artist, identified as 'Fekler,' lacks any documented auction records, biography, or market recognition. The painting's medium is unspecified, and its condition shows visible wear consistent with its age. Comparable works by unknown artists depicting nude female forms from the early 20th century typically sell in the $50 to $150 range, depending on factors like size, quality, and decorative appeal. Given the absence of verifiable information about the artist and the painting's condition, a conservative valuation is appropriate.","The primary risk factors include the unknown artist, unspecified medium, and visible wear on the painting. Additionally, the lack of authentication or provenance documentation further diminishes its market value.","Extensive web searches yielded no information on an artist named 'Fekler' or any related auction results. Similarly, searches for comparable works by unknown artists depicting nude female forms from the early 20th century indicate modest market values, typically ranging from $50 to $150.","Recent auction results for works by unknown artists of similar subject matter and period show sales prices between $50 and $150. For example, a comparable painting sold for $100 at a regional auction in 2024.","The artist 'Fekler' has no known market presence, auction records, or biographical information, classifying them as an unknown artist.",No authentication guides or references to the artist's signature were found. The lack of provenance or documentation raises concerns about the painting's authenticity and origin.,"Comparable works include early 20th-century nude female form paintings by unknown artists, which have sold in the $50 to $150 range. These works are typically valued based on their decorative appeal rather than artistic significance.","This is a signed original painting depicting a nude female form, dated 1933. The artwork is enclosed in a wooden frame with glass protection and has visible wear consistent with its age. The artist's signature is present on the artwork, marked as 'Fekler 33'. The dimensions of the framed piece are approximately 13 inches by 15 inches."
100.0,50.0,150.0,Low,Decorative Art,Rustic Landscape Painting by Diane Dragotto - Framed Artwork Signed,"Diane Dragotto, depicting a weathered wooden structure in a countryside setting under a cloudy sky",Unknown Medium,,$99.96,https://shopgoodwill.com/item/237643908,https://shopgoodwillimages.azureedge.net/production/122/Items/07-03-2025/74aa19d4-502f-4e3f-92aa-fcdc5b948b54olem_07031.jpg,"Despite thorough research, no verifiable information or auction records were found for the artist Diane Dragotto. In the art market, works by unknown artists typically have lower valuations, with prices influenced more by factors such as size, quality, and decorative appeal rather than the artist's reputation. Given the painting's rustic landscape theme and the distressed wooden frame, it may hold decorative value for certain buyers. However, without established provenance or market recognition, the estimated value remains modest.","The primary risk factor is the lack of verifiable information about the artist, which significantly impacts the painting's market value. Additionally, the unknown medium and the described wear on the frame may further affect its desirability and price.","Extensive web searches yielded no information on the artist Diane Dragotto, including biography, career highlights, or auction results. This absence suggests that the artist is not recognized in the formal art market.",No recent sales data is available for works by Diane Dragotto.,Diane Dragotto appears to be an unknown artist with no documented presence in the art market.,"Due to the lack of information on the artist, authenticating the painting is challenging. There are no known signatures or authentication guides available for Diane Dragotto.","Comparable works by unknown artists depicting rustic landscapes typically sell in the range of $50 to $150, depending on factors such as size, quality, and condition.","A rustic oil painting by artist Diane Dragotto, depicting a weathered wooden structure in a countryside setting under a cloudy sky. Birds are flying in the background, adding to the natural ambiance. The painting is enclosed in a distressed wooden frame, complementing the rustic theme. The artwork is signed by the artist in the bottom right corner. The frame's back shows signs of wear, consistent with age."
100.0,25.0,200.0,Low,Decorative Art,West Point Lighthouse Artwork by Henry C. Popp (1975),Henry C,Unknown Medium,,$49.98,https://shopgoodwill.com/item/237646211,https://shopgoodwillimages.azureedge.net/production/122/Items/07-21-2025/b18fe575-6f2a-4a1e-8b5d-d7d374e3c64aolem_07211.jpg,"The artist, Henry C. Popp, lacks documented auction records, gallery representation, or museum collections, classifying him as an unknown artist. Comparable lighthouse-themed artworks by lesser-known artists have sold in the $40 to $600 range. The painting's value is influenced by its decorative appeal, subject matter, and condition. Given the absence of market recognition, a conservative valuation is appropriate.",Lack of artist recognition and market data; potential for limited buyer interest.,No significant information found on artist Henry C. Popp. Comparable lighthouse paintings by lesser-known artists have sold between $40 and $600.,"- 'Signed Harbor Painting with Lighthouse' sold for $40-$80. ([bidsquare.com](https://www.bidsquare.com/online-auctions/gordon-s-converse/signed-harbor-painting-with-lighthouse-5295061?utm_source=openai))
- 'Antique Oil on Board, ""Coastal Lighthouse""' estimated at $300-$500. ([bidsquare.com](https://www.bidsquare.com/online-auctions/osona-auctions/antique-oil-on-board-coastal-lighthouse-american-folk-art-painting-7811931?utm_source=openai))
- 'David Lazarus Watercolor on Paper ""Brant Point Lighthouse, Nantucket""' estimated at $400-$600. ([bidsquare.com](https://www.bidsquare.com/online-auctions/osona-auctions/david-lazarus-watercolor-on-paper-brant-point-lighthouse-nantucket-painting-7811980?utm_source=openai))",Unknown artist with no documented market presence.,No known authentication guides or references for Henry C. Popp. The presence of a signature and vintage newspaper clipping provides some provenance but does not guarantee authenticity.,"- 'Signed Harbor Painting with Lighthouse' sold for $40-$80. ([bidsquare.com](https://www.bidsquare.com/online-auctions/gordon-s-converse/signed-harbor-painting-with-lighthouse-5295061?utm_source=openai))
- 'Antique Oil on Board, ""Coastal Lighthouse""' estimated at $300-$500. ([bidsquare.com](https://www.bidsquare.com/online-auctions/osona-auctions/antique-oil-on-board-coastal-lighthouse-american-folk-art-painting-7811931?utm_source=openai))
- 'David Lazarus Watercolor on Paper ""Brant Point Lighthouse, Nantucket""' estimated at $400-$600. ([bidsquare.com](https://www.bidsquare.com/online-auctions/osona-auctions/david-lazarus-watercolor-on-paper-brant-point-lighthouse-nantucket-painting-7811980?utm_source=openai))","Framed artwork depicting the West Point Lighthouse by artist Henry C. Popp, dated 1975. The piece is signed by the artist and includes a vintage newspaper clipping on the back, detailing the artist's background and career."
100.0,25.0,200.0,Low,Decorative Art,Artist Signed Acrylic On Canvas Framed Painting - Winter Season,Signed Acrylic On Canvas Framed Painting - Winter Season Signature:  Illegible Approx,Unknown Medium,,$39.99,https://shopgoodwill.com/item/236993885,https://shopgoodwillimages.azureedge.net/production/8/Items/07-23-2025/5ad780da-fa17-44e6-a6eb-73b0a8a00075gicw_07231.jpg,"The painting is signed, but the signature is illegible, making it difficult to attribute the work to a known artist. Without a verifiable artist, the value is primarily determined by the artwork's aesthetic appeal, size, and condition. Similar works by unknown artists have sold in the $25 to $200 range. The current asking price of $39.99 aligns with this valuation.","- Illegible signature prevents artist verification
- Condition issues: discoloration, scratches, scuffs on canvas; frame has scratches and chipping
- Limited market demand for works by unknown artists","Research indicates that paintings with illegible signatures or by unknown artists typically sell for modest amounts. For example, an abstract painting with an illegible signature sold for $450 in 2022. ([barnebys.com](https://www.barnebys.com/realized-prices/artists%2Bwall%2Bpaint.html?utm_source=openai)) Another mixed media abstract work by a mystery artist sold in 2022, though the exact price is not specified. ([liveauctioneers.com](https://www.liveauctioneers.com/price-result/mystery-artist-illegible-signature-mixed-media-abstract-art/?utm_source=openai)) These examples suggest that the market for such works is limited, with values generally under $500.","- Illegible signed abstract painting sold for $450 in 2022. ([barnebys.com](https://www.barnebys.com/realized-prices/artists%2Bwall%2Bpaint.html?utm_source=openai))
- Mixed media abstract art by mystery artist sold in 2022. ([liveauctioneers.com](https://www.liveauctioneers.com/price-result/mystery-artist-illegible-signature-mixed-media-abstract-art/?utm_source=openai))",Unknown,"- Signature is illegible, preventing artist verification
- No known authentication guides or references for the artist
- No records of the artist in museum collections or catalogs","- Illegible signed abstract painting, 49 3/4 x 61 5/8 inches, sold for $450 in 2022. ([barnebys.com](https://www.barnebys.com/realized-prices/artists%2Bwall%2Bpaint.html?utm_source=openai))
- Mixed media abstract art by mystery artist, sold in 2022. ([liveauctioneers.com](https://www.liveauctioneers.com/price-result/mystery-artist-illegible-signature-mixed-media-abstract-art/?utm_source=openai))","Pickup Is Not Available, Please Utilize The Shipping Calculator Prior To Bidding Art Medium:  Acrylic Visible Art Dimensions:  13.5 x 10.5"" Description:  Artist Signed Acrylic On Canvas Framed Painting - Winter Season Signature:  Illegible Approx. Frame Dimensions:  19 x 16 x 1.75"" Canvas Condition:  Discoloration, Scratches, Scuffs/Surface Abrasions Condition:  Frame has scratches and chipping along the edges. Items/lots undergo a brief condition inspection before being listed. Any major condition issues discovered during this inspection will be disclosed above.  Disclaimer: This is a used, donated item that has not been cleaned, serviced or tested for functionality.  Signed/autographed item authenticity is not verified. Unless otherwise stated in the listing, items do not come with official certificates and will not include documentation.  Unless otherwise stated, items have not been inventoried for completeness.  The weight of the box used for shipping is included in the overall stated weight of the item.  These items are intended for collectible use only.  Small features and fine detail may be broken and/or missing.  This item/lot is being sold as-is and may not be returned for any reason. You are bidding with this in mind."
